CLASS		# OF HANDS		CLASS NAME
66667		90		Four Sixes
AAAKK		300		Aces full of Kings
AAAQQ		300		Aces full of Queens
AAAJJ		300		Aces full of Jacks
AAATT		300		Aces full of Tens
AAA99		300		Aces full of Nines
AAA88		300		Aces full of Eights
AAA77		300		Aces full of Sevens
AAA66		300		Aces full of Sixes
KKKAA		300		Kings full of Aces
KKKQQ		300		Kings full of Queens
KKKJJ		300		Kings full of Jacks
KKKTT		300		Kings full of Tens
KKK99		300		Kings full of Nines
KKK88		300		Kings full of Eights
KKK77		300		Kings full of Sevens
KKK66		300		Kings full of Sixes
QQQAA		300		Queens full of Aces
QQQKK		300		Queens full of Kings
QQQJJ		300		Queens full of Jacks
QQQTT		300		Queens full of Tens
QQQ99		300		Queens full of Nines
QQQ88		300		Queens full of Eights
QQQ77		300		Queens full of Sevens
QQQ66		300		Queens full of Sixes
JJJAA		300		Jacks full of Aces
JJJKK		300		Jacks full of Kings
JJJQQ		300		Jacks full of Queens
JJJTT		300		Jacks full of Tens
JJJ99		300		Jacks full of Nines
JJJ88		300		Jacks full of Eights
JJJ77		300		Jacks full of Sevens
JJJ66		300		Jacks full of Sixes
TTTAA		300		Tens full of Aces
TTTKK		300		Tens full of Kings
TTTQQ		300		Tens full of Queens
TTTJJ		300		Tens full of Jacks
TTT99		300		Tens full of Nines
TTT88		300		Tens full of Eights
TTT77		300		Tens full of Sevens
TTT66		300		Tens full of Sixes
999AA		300		Nines full of Aces
999KK		300		Nines full of Kings
999QQ		300		Nines full of Queens
999JJ		300		Nines full of Jacks
999TT		300		Nines full of Tens
99988		300		Nines full of Eights
99977		300		Nines full of Sevens
99966		300		Nines full of Sixes
888AA		300		Eights full of Aces
888KK		300		Eights full of Kings
888QQ		300		Eights full of Queens
888JJ		300		Eights full of Jacks
888TT		300		Eights full of Tens
88899		300		Eights full of Nines
88877		300		Eights full of Sevens
88866		300		Eights full of Sixes
777AA		300		Sevens full of Aces
777KK		300		Sevens full of Kings
777QQ		300		Sevens full of Queens
777JJ		300		Sevens full of Jacks
777TT		300		Sevens full of Tens
77799		300		Sevens full of Nines
77788		300		Sevens full of Eights
77766		300		Sevens full of Sixes
666AA		300		Sixes full of Aces
666KK		300		Sixes full of Kings
666QQ		300		Sixes full of Queens
666JJ		300		Sixes full of Jacks
666TT		300		Sixes full of Tens
66699		300		Sixes full of Nines
66688		300		Sixes full of Eights
66677		300		Sixes full of Sevens
AKQJA		30		Ace high 4 flush
AKQJK		30		Ace high 4 flush
AKQJQ		30		Ace high 4 flush
AKQJJ		30		Ace high 4 flush
AKQJT		30		Ace high 4 flush
AKQJ9		30		Ace high 4 flush
AKQJ8		30		Ace high 4 flush
AKQJ7		30		Ace high 4 flush
AKQJ6		30		Ace high 4 flush
AKQTA		30		Ace high 4 flush
AKQTK		30		Ace high 4 flush
AKQTQ		30		Ace high 4 flush
AKQTJ		30		Ace high 4 flush
AKQTT		30		Ace high 4 flush
AKQT9		30		Ace high 4 flush
AKQT8		30		Ace high 4 flush
AKQT7		30		Ace high 4 flush
AKQT6		30		Ace high 4 flush
AKQ9A		30		Ace high 4 flush
AKQ9K		30		Ace high 4 flush
AKQ9Q		30		Ace high 4 flush
AKQ9J		30		Ace high 4 flush
AKQ9T		30		Ace high 4 flush
AKQ99		30		Ace high 4 flush
AKQ98		30		Ace high 4 flush
AKQ97		30		Ace high 4 flush
AKQ96		30		Ace high 4 flush
AKQ8A		30		Ace high 4 flush
AKQ8K		30		Ace high 4 flush
AKQ8Q		30		Ace high 4 flush
AKQ8J		30		Ace high 4 flush
AKQ8T		30		Ace high 4 flush
AKQ89		30		Ace high 4 flush
AKQ88		30		Ace high 4 flush
AKQ87		30		Ace high 4 flush
AKQ86		30		Ace high 4 flush
AKQ7A		30		Ace high 4 flush
AKQ7K		30		Ace high 4 flush
AKQ7Q		30		Ace high 4 flush
AKQ7J		30		Ace high 4 flush
AKQ7T		30		Ace high 4 flush
AKQ79		30		Ace high 4 flush
AKQ78		30		Ace high 4 flush
AKQ77		30		Ace high 4 flush
AKQ76		30		Ace high 4 flush
AKQ6A		30		Ace high 4 flush
AKQ6K		30		Ace high 4 flush
AKQ6Q		30		Ace high 4 flush
AKQ6J		30		Ace high 4 flush
AKQ6T		30		Ace high 4 flush
AKQ69		30		Ace high 4 flush
AKQ68		30		Ace high 4 flush
AKQ67		30		Ace high 4 flush
AKQ66		30		Ace high 4 flush
AKJTA		30		Ace high 4 flush
AKJTK		30		Ace high 4 flush
AKJTQ		30		Ace high 4 flush
AKJTJ		30		Ace high 4 flush
AKJTT		30		Ace high 4 flush
AKJT9		30		Ace high 4 flush
AKJT8		30		Ace high 4 flush
AKJT7		30		Ace high 4 flush
AKJT6		30		Ace high 4 flush
AKJ9A		30		Ace high 4 flush
AKJ9K		30		Ace high 4 flush
AKJ9Q		30		Ace high 4 flush
AKJ9J		30		Ace high 4 flush
AKJ9T		30		Ace high 4 flush
AKJ99		30		Ace high 4 flush
AKJ98		30		Ace high 4 flush
AKJ97		30		Ace high 4 flush
AKJ96		30		Ace high 4 flush
AKJ8A		30		Ace high 4 flush
AKJ8K		30		Ace high 4 flush
AKJ8Q		30		Ace high 4 flush
AKJ8J		30		Ace high 4 flush
AKJ8T		30		Ace high 4 flush
AKJ89		30		Ace high 4 flush
AKJ88		30		Ace high 4 flush
AKJ87		30		Ace high 4 flush
AKJ86		30		Ace high 4 flush
AKJ7A		30		Ace high 4 flush
AKJ7K		30		Ace high 4 flush
AKJ7Q		30		Ace high 4 flush
AKJ7J		30		Ace high 4 flush
AKJ7T		30		Ace high 4 flush
AKJ79		30		Ace high 4 flush
AKJ78		30		Ace high 4 flush
AKJ77		30		Ace high 4 flush
AKJ76		30		Ace high 4 flush
AKJ6A		30		Ace high 4 flush
AKJ6K		30		Ace high 4 flush
AKJ6Q		30		Ace high 4 flush
AKJ6J		30		Ace high 4 flush
AKJ6T		30		Ace high 4 flush
AKJ69		30		Ace high 4 flush
AKJ68		30		Ace high 4 flush
AKJ67		30		Ace high 4 flush
AKJ66		30		Ace high 4 flush
AKT9A		30		Ace high 4 flush
AKT9K		30		Ace high 4 flush
AKT9Q		30		Ace high 4 flush
AKT9J		30		Ace high 4 flush
AKT9T		30		Ace high 4 flush
AKT99		30		Ace high 4 flush
AKT98		30		Ace high 4 flush
AKT97		30		Ace high 4 flush
AKT96		30		Ace high 4 flush
AKT8A		30		Ace high 4 flush
AKT8K		30		Ace high 4 flush
AKT8Q		30		Ace high 4 flush
AKT8J		30		Ace high 4 flush
AKT8T		30		Ace high 4 flush
AKT89		30		Ace high 4 flush
AKT88		30		Ace high 4 flush
AKT87		30		Ace high 4 flush
AKT86		30		Ace high 4 flush
AKT7A		30		Ace high 4 flush
AKT7K		30		Ace high 4 flush
AKT7Q		30		Ace high 4 flush
AKT7J		30		Ace high 4 flush
AKT7T		30		Ace high 4 flush
AKT79		30		Ace high 4 flush
AKT78		30		Ace high 4 flush
AKT77		30		Ace high 4 flush
AKT76		30		Ace high 4 flush
AKT6A		30		Ace high 4 flush
AKT6K		30		Ace high 4 flush
AKT6Q		30		Ace high 4 flush
AKT6J		30		Ace high 4 flush
AKT6T		30		Ace high 4 flush
AKT69		30		Ace high 4 flush
AKT68		30		Ace high 4 flush
AKT67		30		Ace high 4 flush
AKT66		30		Ace high 4 flush
AK98A		30		Ace high 4 flush
AK98K		30		Ace high 4 flush
AK98Q		30		Ace high 4 flush
AK98J		30		Ace high 4 flush
AK98T		30		Ace high 4 flush
AK989		30		Ace high 4 flush
AK988		30		Ace high 4 flush
AK987		30		Ace high 4 flush
AK986		30		Ace high 4 flush
AK97A		30		Ace high 4 flush
AK97K		30		Ace high 4 flush
AK97Q		30		Ace high 4 flush
AK97J		30		Ace high 4 flush
AK97T		30		Ace high 4 flush
AK979		30		Ace high 4 flush
AK978		30		Ace high 4 flush
AK977		30		Ace high 4 flush
AK976		30		Ace high 4 flush
AK96A		30		Ace high 4 flush
AK96K		30		Ace high 4 flush
AK96Q		30		Ace high 4 flush
AK96J		30		Ace high 4 flush
AK96T		30		Ace high 4 flush
AK969		30		Ace high 4 flush
AK968		30		Ace high 4 flush
AK967		30		Ace high 4 flush
AK966		30		Ace high 4 flush
AK87A		30		Ace high 4 flush
AK87K		30		Ace high 4 flush
AK87Q		30		Ace high 4 flush
AK87J		30		Ace high 4 flush
AK87T		30		Ace high 4 flush
AK879		30		Ace high 4 flush
AK878		30		Ace high 4 flush
AK877		30		Ace high 4 flush
AK876		30		Ace high 4 flush
AK86A		30		Ace high 4 flush
AK86K		30		Ace high 4 flush
AK86Q		30		Ace high 4 flush
AK86J		30		Ace high 4 flush
AK86T		30		Ace high 4 flush
AK869		30		Ace high 4 flush
AK868		30		Ace high 4 flush
AK867		30		Ace high 4 flush
AK866		30		Ace high 4 flush
AK76A		30		Ace high 4 flush
AK76K		30		Ace high 4 flush
AK76Q		30		Ace high 4 flush
AK76J		30		Ace high 4 flush
AK76T		30		Ace high 4 flush
AK769		30		Ace high 4 flush
AK768		30		Ace high 4 flush
AK767		30		Ace high 4 flush
AK766		30		Ace high 4 flush
AQJTA		30		Ace high 4 flush
AQJTK		30		Ace high 4 flush
AQJTQ		30		Ace high 4 flush
AQJTJ		30		Ace high 4 flush
AQJTT		30		Ace high 4 flush
AQJT9		30		Ace high 4 flush
AQJT8		30		Ace high 4 flush
AQJT7		30		Ace high 4 flush
AQJT6		30		Ace high 4 flush
AQJ9A		30		Ace high 4 flush
AQJ9K		30		Ace high 4 flush
AQJ9Q		30		Ace high 4 flush
AQJ9J		30		Ace high 4 flush
AQJ9T		30		Ace high 4 flush
AQJ99		30		Ace high 4 flush
AQJ98		30		Ace high 4 flush
AQJ97		30		Ace high 4 flush
AQJ96		30		Ace high 4 flush
AQJ8A		30		Ace high 4 flush
AQJ8K		30		Ace high 4 flush
AQJ8Q		30		Ace high 4 flush
AQJ8J		30		Ace high 4 flush
AQJ8T		30		Ace high 4 flush
AQJ89		30		Ace high 4 flush
AQJ88		30		Ace high 4 flush
AQJ87		30		Ace high 4 flush
AQJ86		30		Ace high 4 flush
AQJ7A		30		Ace high 4 flush
AQJ7K		30		Ace high 4 flush
AQJ7Q		30		Ace high 4 flush
AQJ7J		30		Ace high 4 flush
AQJ7T		30		Ace high 4 flush
AQJ79		30		Ace high 4 flush
AQJ78		30		Ace high 4 flush
AQJ77		30		Ace high 4 flush
AQJ76		30		Ace high 4 flush
AQJ6A		30		Ace high 4 flush
AQJ6K		30		Ace high 4 flush
AQJ6Q		30		Ace high 4 flush
AQJ6J		30		Ace high 4 flush
AQJ6T		30		Ace high 4 flush
AQJ69		30		Ace high 4 flush
AQJ68		30		Ace high 4 flush
AQJ67		30		Ace high 4 flush
AQJ66		30		Ace high 4 flush
AQT9A		30		Ace high 4 flush
AQT9K		30		Ace high 4 flush
AQT9Q		30		Ace high 4 flush
AQT9J		30		Ace high 4 flush
AQT9T		30		Ace high 4 flush
AQT99		30		Ace high 4 flush
AQT98		30		Ace high 4 flush
AQT97		30		Ace high 4 flush
AQT96		30		Ace high 4 flush
AQT8A		30		Ace high 4 flush
AQT8K		30		Ace high 4 flush
AQT8Q		30		Ace high 4 flush
AQT8J		30		Ace high 4 flush
AQT8T		30		Ace high 4 flush
AQT89		30		Ace high 4 flush
AQT88		30		Ace high 4 flush
AQT87		30		Ace high 4 flush
AQT86		30		Ace high 4 flush
AQT7A		30		Ace high 4 flush
AQT7K		30		Ace high 4 flush
AQT7Q		30		Ace high 4 flush
AQT7J		30		Ace high 4 flush
AQT7T		30		Ace high 4 flush
AQT79		30		Ace high 4 flush
AQT78		30		Ace high 4 flush
AQT77		30		Ace high 4 flush
AQT76		30		Ace high 4 flush
AQT6A		30		Ace high 4 flush
AQT6K		30		Ace high 4 flush
AQT6Q		30		Ace high 4 flush
AQT6J		30		Ace high 4 flush
AQT6T		30		Ace high 4 flush
AQT69		30		Ace high 4 flush
AQT68		30		Ace high 4 flush
AQT67		30		Ace high 4 flush
AQT66		30		Ace high 4 flush
AQ98A		30		Ace high 4 flush
AQ98K		30		Ace high 4 flush
AQ98Q		30		Ace high 4 flush
AQ98J		30		Ace high 4 flush
AQ98T		30		Ace high 4 flush
AQ989		30		Ace high 4 flush
AQ988		30		Ace high 4 flush
AQ987		30		Ace high 4 flush
AQ986		30		Ace high 4 flush
AQ97A		30		Ace high 4 flush
AQ97K		30		Ace high 4 flush
AQ97Q		30		Ace high 4 flush
AQ97J		30		Ace high 4 flush
AQ97T		30		Ace high 4 flush
AQ979		30		Ace high 4 flush
AQ978		30		Ace high 4 flush
AQ977		30		Ace high 4 flush
AQ976		30		Ace high 4 flush
AQ96A		30		Ace high 4 flush
AQ96K		30		Ace high 4 flush
AQ96Q		30		Ace high 4 flush
AQ96J		30		Ace high 4 flush
AQ96T		30		Ace high 4 flush
AQ969		30		Ace high 4 flush
AQ968		30		Ace high 4 flush
AQ967		30		Ace high 4 flush
AQ966		30		Ace high 4 flush
AQ87A		30		Ace high 4 flush
AQ87K		30		Ace high 4 flush
AQ87Q		30		Ace high 4 flush
AQ87J		30		Ace high 4 flush
AQ87T		30		Ace high 4 flush
AQ879		30		Ace high 4 flush
AQ878		30		Ace high 4 flush
AQ877		30		Ace high 4 flush
AQ876		30		Ace high 4 flush
AQ86A		30		Ace high 4 flush
AQ86K		30		Ace high 4 flush
AQ86Q		30		Ace high 4 flush
AQ86J		30		Ace high 4 flush
AQ86T		30		Ace high 4 flush
AQ869		30		Ace high 4 flush
AQ868		30		Ace high 4 flush
AQ867		30		Ace high 4 flush
AQ866		30		Ace high 4 flush
AQ76A		30		Ace high 4 flush
AQ76K		30		Ace high 4 flush
AQ76Q		30		Ace high 4 flush
AQ76J		30		Ace high 4 flush
AQ76T		30		Ace high 4 flush
AQ769		30		Ace high 4 flush
AQ768		30		Ace high 4 flush
AQ767		30		Ace high 4 flush
AQ766		30		Ace high 4 flush
AJT9A		30		Ace high 4 flush
AJT9K		30		Ace high 4 flush
AJT9Q		30		Ace high 4 flush
AJT9J		30		Ace high 4 flush
AJT9T		30		Ace high 4 flush
AJT99		30		Ace high 4 flush
AJT98		30		Ace high 4 flush
AJT97		30		Ace high 4 flush
AJT96		30		Ace high 4 flush
AJT8A		30		Ace high 4 flush
AJT8K		30		Ace high 4 flush
AJT8Q		30		Ace high 4 flush
AJT8J		30		Ace high 4 flush
AJT8T		30		Ace high 4 flush
AJT89		30		Ace high 4 flush
AJT88		30		Ace high 4 flush
AJT87		30		Ace high 4 flush
AJT86		30		Ace high 4 flush
AJT7A		30		Ace high 4 flush
AJT7K		30		Ace high 4 flush
AJT7Q		30		Ace high 4 flush
AJT7J		30		Ace high 4 flush
AJT7T		30		Ace high 4 flush
AJT79		30		Ace high 4 flush
AJT78		30		Ace high 4 flush
AJT77		30		Ace high 4 flush
AJT76		30		Ace high 4 flush
AJT6A		30		Ace high 4 flush
AJT6K		30		Ace high 4 flush
AJT6Q		30		Ace high 4 flush
AJT6J		30		Ace high 4 flush
AJT6T		30		Ace high 4 flush
AJT69		30		Ace high 4 flush
AJT68		30		Ace high 4 flush
AJT67		30		Ace high 4 flush
AJT66		30		Ace high 4 flush
AJ98A		30		Ace high 4 flush
AJ98K		30		Ace high 4 flush
AJ98Q		30		Ace high 4 flush
AJ98J		30		Ace high 4 flush
AJ98T		30		Ace high 4 flush
AJ989		30		Ace high 4 flush
AJ988		30		Ace high 4 flush
AJ987		30		Ace high 4 flush
AJ986		30		Ace high 4 flush
AJ97A		30		Ace high 4 flush
AJ97K		30		Ace high 4 flush
AJ97Q		30		Ace high 4 flush
AJ97J		30		Ace high 4 flush
AJ97T		30		Ace high 4 flush
AJ979		30		Ace high 4 flush
AJ978		30		Ace high 4 flush
AJ977		30		Ace high 4 flush
AJ976		30		Ace high 4 flush
